"Name","Version","InstallDate","InstallLocation"
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack","4.5.51651","20210717",
"Microsoft .NET Core AppHost Pack - 3.1.16 (x64_x86)","24.64.30112","20210718",
"vs_clickoncesigntoolmsi","16.0.28329","20210718",
"Microsoft ASP.NET Core 5.0.7 Shared Framework (x64)","5.0.7.21263","20210718",
,,,
"Microsoft Azure PowerShell - April 2018","5.7.0.18831","20210717",
"Microsoft .NET Framework 4.6.1 Targeting Pack","4.6.01055","20210718",
"Microsoft .NET Framework 4.7.1 Targeting Pack","4.7.02558","20210717",
"Windows SDK Desktop Headers arm64","10.1.19041.685","20210718",
"vs_clickoncebootstrappermsi","16.10.31206","20210718",
"Visual C++ Library CRT Desktop Appx Package","14.29.30038","20210718",
"vs_vswebprotocolselectormsires","16.10.31206","20210718",
"Microsoft SQL Server 2016 LocalDB ","13.1.4001.0","20210717",
"Python 3.7.8 Tcl/Tk Support (64-bit)","3.7.8150.0","20210717",
"Universal CRT Headers Libraries and Sources","10.1.19041.685","20210718",
"Windows SDK DirectX x86 Remote","10.1.19041.685","20210718",
"Entity Framework 6.2.0 Tools  for Visual Studio 2019","6.2.0.0","20210717",
"Windows Team Extension SDK","10.1.19041.685","20210718",
"Xamarin Remoted iOS Simulator","16.7.0.0","20210718",
"Kontrola stavu osobního počítače s Windows","3.6.2204.08001","20220426",
"Windows Desktop Extension SDK","10.1.19041.685","20210718",
"Teams Machine-Wide Installer","1.3.0.21759","20210718",
"Xamarin Offline Packages","16.10.5","20210718",
"VS WCF Debugging","16.0.102.0","20210717",
"Microsoft .NET Core AppHost Pack - 3.1.16 (x64)","24.64.30112","20210718",
"Windows SDK Desktop Tools arm64","10.1.19041.685","20210718",
"Microsoft .NET Core 5.0 Templates 5.0.301 (x64)","20.3.63273","20210718",
"Windows App Certification Kit Native Components","10.1.19041.685","20210718",
"Update for Windows 10 for x64-based Systems (KB5001716)","8.92.0.0","20230617",
"Visual C++ Library CRT Desktop Appx Package","14.29.30038","20210718",
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.19041.685","20210718",
"icecap_collectionresourcesx64","16.10.31306","20210717",
"Microsoft .NET SDK 5.0.301 (x64) from Visual Studio","5.3.121.27113","20210718",
"Node.js","20.9.0","20231030",
"vs_minshellmsires","16.10.31303","20210718",
"Universal CRT Redistributable","10.0.26624","20210717",
"Windows SDK Desktop Libs arm","10.1.19041.685","20210718",
"Universal CRT Tools x64","10.1.19041.685","20210718",
"Xamarin PCL Profiles v1.0.9","1.0.9.0","20210718",
"Windows SDK Signing Tools","10.1.19041.685","20210718",
"Windows Mobile Extension SDK","10.1.19041.685","20210718",
"vs_filehandler_amd64","16.10.31206","20210718",
"Windows SDK for Windows Store Apps Tools","10.1.19041.685","20210718",
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","20210718",
